Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
08/28/2023,Monday,TIKTOK,92,Social Media
08/28/2023,Monday,YOUTUBE,93,Entertainment
08/28/2023,Monday,TWITTER,41,Social Media
08/28,Monday,INSTAGRAM,39,Social Media
08/28/2023,Monday,SAFARI,27,Other
08/29/2023,Tuesday,CALCULATOR,117,Education
08/29,Tuesday,TIKTOK,79,Social Media
08/29,Tuesday,SAFARI,65,Other
08/29,Tuesday,INSTAGRAM,55,Social Media
08/29,Tuesday,MESSAGES,54,Other
08/30,Wednesday,LINKEDIN,56,Other
08/30,Wednesday,SAFARI,51,Other
08/30,Wednesday,MESSAGES,38,Other
08/30,Wednesday,INSTAGRAM,38,Social Media
08/30,Wednesday,TIKTOK,31,Social Media
8/31,Thursday,YOUTUBE,211,Entertainment
8/31,Thursday,INSTAGRAM,144,Social Media
8/31,Thursday,TIKTOK,84,Social Media
8/31,Thursday,TWITTER,56,Social Media
8/31,Thursday,MESSAGES,50,Other
9/1,Friday,YOUTUBE,198,Entertainment
9/1,Friday,INSTAGRAM,161,Social Media
9/1,Friday,TIKTOK,148,Social Media
9/1,Friday,TWITTER,52,Social Media
9/1,Friday,SAFARI,50,Other
9/2,Saturday,YOUTUBE,520,Entertainment
9/2,Saturday,TIKTOK,205,Social Media
9/2,Saturday,INSTAGRAM,113,Social Media
9/2,Saturday,FACEBOOK,60,Social Media
9/2,Saturday,TWITTER,35,Social Media
9/3,Sunday,TIKTOK,337,Social Media
9/3,Sunday,SAFARI,114,Other
9/3,Sunday,YOUTUBE,105,Entertainment
9/3,Sunday,INSTAGRAM,89,Social Media
9/3,Sunday,GOOGLE,46,Other
9/4,Monday,MESSAGES,154,Other
9/4,Monday,INSTAGRAM,92,Social Media
9/4,Monday,TIKTOK,76,Social Media
9/4,Monday,SAFARI,59,Other
9/4,Monday,YOUTUBE,34,Entertainment
